dataset,alpha,seed,fold,accuracy,macro_f1,auc,set_redundancy,weighted_redundancy
Ionosphere,0.4,43,1,0.9428571428571428,0.9352451433857539,0.9497777777777777,0.14565909290605467,0.1357375601266104
Ionosphere,0.6,43,1,0.9285714285714286,0.9181286549707601,0.971111111111111,0.16918945622758158,0.14208801268249371
Ionosphere,0.8,43,1,0.9285714285714286,0.9181286549707601,0.971111111111111,0.16918945622758158,0.14208801268249371
Ionosphere,1.0,43,1,0.9285714285714286,0.9181286549707601,0.971111111111111,0.16918945622758158,0.14208801268249371
Ionosphere,0.0,43,2,0.8714285714285714,0.858712715855573,0.9128888888888889,0.15167737088042457,0.16504568691225674
Ionosphere,0.2,43,2,0.8714285714285714,0.858712715855573,0.8826666666666666,0.16668109300249725,0.15320933720010008
Ionosphere,0.4,43,2,0.8714285714285714,0.858712715855573,0.8826666666666666,0.16668109300249725,0.15320933720010008
Ionosphere,0.6,43,2,0.8714285714285714,0.858712715855573,0.8826666666666666,0.16668109300249725,0.15320933720010008
Ionosphere,0.8,43,2,0.8571428571428571,0.8414855072463767,0.8826666666666665,0.13949101106606304,0.13506891688551878
Ionosphere,1.0,43,2,0.8571428571428571,0.8414855072463767,0.8835555555555555,0.1310382148246045,0.12171508408061718
Ionosphere,0.0,43,3,0.8857142857142857,0.8776223776223776,0.9311111111111111,0.17902294059426183,0.1607513517041195
Ionosphere,0.2,43,3,0.8857142857142857,0.8776223776223776,0.9133333333333332,0.18091150191907476,0.15923635991946367
Ionosphere,0.4,43,3,0.8714285714285714,0.863370201691607,0.9146666666666666,0.16244145375650829,0.14286607719919886
Ionosphere,0.6,43,3,0.8714285714285714,0.863370201691607,0.8924444444444444,0.13924745645158393,0.11854677094750843
Ionosphere,0.8,43,3,0.8714285714285714,0.863370201691607,0.8924444444444444,0.13924745645158393,0.11854677094750843
Ionosphere,1.0,43,3,0.8714285714285714,0.863370201691607,0.8924444444444444,0.1439226344613159,0.11315292902688853
Ionosphere,0.0,43,4,0.8857142857142857,0.8794142980189492,0.9275555555555556,0.17122760375815613,0.15228166450720743
Ionosphere,0.2,43,4,0.8857142857142857,0.8776223776223776,0.8826666666666667,0.16180003427545187,0.16707105651048254
Ionosphere,0.4,43,4,0.8857142857142857,0.8776223776223776,0.8826666666666667,0.16180003427545187,0.16707105651048254
Ionosphere,0.6,43,4,0.8857142857142857,0.8776223776223776,0.8826666666666667,0.16180003427545187,0.16707105651048254
Ionosphere,0.8,43,4,0.8714285714285714,0.8612029081295439,0.8453333333333334,0.14705204344943193,0.16960576459224427
